epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.6104,1.21226,1.29218,1.22061,0.65665,0.59829,0.66981,0.50039,1.07509,1.01604,1.10913,8.33e-06,8.33e-06,8.33e-06
2,34.5718,1.12837,1.17205,1.16482,0.67077,0.61212,0.67758,0.50866,1.06448,0.99303,1.10107,1.60829e-05,1.60829e-05,1.60829e-05
3,37.4994,1.18208,1.25862,1.22397,0.67198,0.62693,0.68484,0.51561,1.05949,0.97848,1.09779,2.19507e-05,2.19507e-05,2.19507e-05
4,40.1707,1.15232,1.14937,1.18433,0.67845,0.63612,0.69476,0.52655,1.04587,0.95766,1.08561,2.59337e-05,2.59337e-05,2.59337e-05
5,42.8884,1.15321,1.14908,1.15262,0.6999,0.63997,0.70483,0.53116,1.04084,0.94373,1.08139,2.80316e-05,2.80316e-05,2.80316e-05
6,45.5362,1.12593,1.15956,1.17264,0.69869,0.63679,0.70227,0.52932,1.03692,0.9336,1.07796,2.82447e-05,2.82447e-05,2.82447e-05
7,48.3378,1.09989,1.10138,1.15953,0.70771,0.63988,0.71183,0.5374,1.03481,0.92119,1.07701,2.65727e-05,2.65727e-05,2.65727e-05
8,50.9365,1.08273,1.08714,1.14315,0.70425,0.64922,0.71575,0.54248,1.02802,0.91169,1.07283,2.30158e-05,2.30158e-05,2.30158e-05
9,53.4849,1.07497,1.03756,1.14549,0.70454,0.64878,0.7179,0.54822,1.02288,0.90207,1.06877,1.75739e-05,1.75739e-05,1.75739e-05
10,56.3165,1.07127,1.05397,1.1213,0.71331,0.65048,0.71944,0.55057,1.02044,0.89793,1.06798,1.02471e-05,1.02471e-05,1.02471e-05
