epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.91115,1.13801,1.28091,1.21488,0.66298,0.58834,0.66894,0.50066,1.08108,1.02676,1.10896,3.57e-06,3.57e-06,3.57e-06
2,12.0857,1.30231,1.42052,1.25151,0.65051,0.59874,0.67461,0.50561,1.07394,1.01288,1.10407,8.05511e-06,8.05511e-06,8.05511e-06
3,16.9379,1.17358,1.25033,1.2389,0.67003,0.60243,0.67933,0.51156,1.07073,0.99343,1.10093,1.22261e-05,1.22261e-05,1.22261e-05
4,20.6544,1.17133,1.2465,1.23243,0.69938,0.62261,0.69064,0.52171,1.06621,0.97876,1.09475,1.60829e-05,1.60829e-05,1.60829e-05
5,24.3036,1.17052,1.24568,1.22744,0.71802,0.62443,0.69736,0.52288,1.05707,0.96609,1.08828,1.96255e-05,1.96255e-05,1.96255e-05
6,28.0819,1.17545,1.27658,1.22065,0.73492,0.62981,0.70702,0.53124,1.0521,0.95748,1.08503,2.2854e-05,2.2854e-05,2.2854e-05
7,31.7594,1.14012,1.18172,1.21041,0.74097,0.63333,0.71373,0.53786,1.04261,0.94672,1.07875,2.57683e-05,2.57683e-05,2.57683e-05
8,35.4341,1.17008,1.16802,1.20631,0.7566,0.63181,0.71739,0.54049,1.03834,0.93655,1.07543,2.83684e-05,2.83684e-05,2.83684e-05
9,39.144,1.13612,1.09548,1.19605,0.77205,0.62716,0.7192,0.5478,1.03047,0.92915,1.06945,3.06544e-05,3.06544e-05,3.06544e-05
10,42.7583,1.14615,1.14352,1.21293,0.78331,0.63329,0.731,0.55621,1.02267,0.91249,1.06451,3.26262e-05,3.26262e-05,3.26262e-05
11,46.4745,1.10239,1.02658,1.14081,0.80993,0.63947,0.74098,0.56776,1.01638,0.89412,1.06049,3.42839e-05,3.42839e-05,3.42839e-05
12,50.3644,1.02786,1.01339,1.13445,0.78381,0.66073,0.74496,0.57344,1.01356,0.8732,1.05871,3.56274e-05,3.56274e-05,3.56274e-05
13,54.0093,1.09255,1.05762,1.1513,0.79119,0.6644,0.74769,0.57598,1.01269,0.85427,1.05444,3.66568e-05,3.66568e-05,3.66568e-05
14,57.5122,1.06918,1.04672,1.14596,0.80872,0.66045,0.75175,0.57862,1.00858,0.83919,1.05173,3.73719e-05,3.73719e-05,3.73719e-05
15,61.0139,1.14242,1.07112,1.18433,0.81585,0.66827,0.7579,0.58684,1.00409,0.82747,1.04903,3.7773e-05,3.7773e-05,3.7773e-05
16,64.5496,1.11748,1.10309,1.18298,0.81673,0.67709,0.76059,0.59286,0.99639,0.81683,1.04527,3.78599e-05,3.78599e-05,3.78599e-05
17,68.3992,1.0854,1.0055,1.15213,0.82432,0.6809,0.76409,0.59788,0.98796,0.80513,1.04095,3.76326e-05,3.76326e-05,3.76326e-05
18,71.6682,1.01665,0.9507,1.11712,0.833,0.67621,0.7659,0.60002,0.98078,0.7932,1.03916,3.70911e-05,3.70911e-05,3.70911e-05
19,75.1443,1.08328,1.00372,1.15419,0.82516,0.68254,0.76928,0.60329,0.97979,0.78532,1.03912,3.62355e-05,3.62355e-05,3.62355e-05
20,78.7638,1.09749,1.00393,1.15028,0.82216,0.68618,0.7706,0.60716,0.9753,0.77768,1.03712,3.50657e-05,3.50657e-05,3.50657e-05
21,112.643,1.04774,0.98012,1.10335,0.85709,0.68728,0.77888,0.61118,0.97064,0.76974,1.03335,3.35818e-05,3.35818e-05,3.35818e-05
22,115.904,1.06629,0.99468,1.10203,0.84506,0.69252,0.78113,0.61367,0.96772,0.76286,1.02992,3.17837e-05,3.17837e-05,3.17837e-05
23,119.246,0.98446,0.91948,1.08677,0.8328,0.70346,0.78067,0.61474,0.96303,0.75841,1.0256,2.96715e-05,2.96715e-05,2.96715e-05
24,122.818,1.02391,0.94404,1.1101,0.81416,0.69836,0.78382,0.61364,0.96198,0.75879,1.02396,2.7245e-05,2.7245e-05,2.7245e-05
25,126.301,1.03043,0.90585,1.08365,0.7784,0.71043,0.78498,0.61552,0.96145,0.76197,1.02279,2.45045e-05,2.45045e-05,2.45045e-05
26,129.898,0.98782,0.8629,1.09373,0.82841,0.69353,0.78782,0.61425,0.96136,0.76431,1.0224,2.0825e-05,2.0825e-05,2.0825e-05
27,133.344,0.97158,0.88336,1.07103,0.80393,0.69672,0.78308,0.61292,0.96024,0.76472,1.02204,1.6898e-05,1.6898e-05,1.6898e-05
28,136.815,0.99003,0.8601,1.0798,0.81612,0.69698,0.78501,0.61476,0.9572,0.76388,1.01973,1.2971e-05,1.2971e-05,1.2971e-05
29,140.254,0.96335,0.82409,1.05676,0.82244,0.70161,0.78813,0.61649,0.95169,0.75856,1.01676,9.044e-06,9.044e-06,9.044e-06
30,143.737,0.98801,0.86516,1.10728,0.81158,0.70374,0.7861,0.61444,0.94946,0.75526,1.01572,5.117e-06,5.117e-06,5.117e-06
